 ;SESSIONID              ;USERID;LAPNUMBER;DURATION;SPLITTIME;DISTANCE;MINHEARTRATE;AVGHEARTRATE;MAXHEARTRATE;AVGSPEED;MAXSPEED;AVGCADENCE;MAXCADENCE
1;2023-11-12T12:33:45.314;Renaud;0        ;263.864 ;263.864  ;1,000   ;115         ;162         ;181         ;162     ;181     ;91        ;117       
2;2023-11-12T12:33:45.314;Renaud;1        ;253.153 ;517.017  ;1,000   ;138         ;164         ;184         ;164     ;184     ;90        ;111       
3;2023-11-12T12:33:45.314;Renaud;2        ;358.468 ;875.485  ;1,000   ;109         ;147         ;184         ;147     ;184     ;79        ;109       
4;2023-11-12T12:33:45.314;Renaud;3        ;261.311 ;1,136.796;1,000   ;134         ;167         ;184         ;167     ;184     ;92        ;110       
5;2023-11-12T12:33:45.314;Renaud;4        ;255.511 ;1,392.307;1,000   ;129         ;165         ;186         ;165     ;186     ;90        ;105       
6;2023-11-12T12:33:45.314;Renaud;5        ;354.141 ;1,746.448;1,000   ;124         ;155         ;186         ;155     ;186     ;84        ;110       
7;2023-11-12T12:33:45.314;Renaud;6        ;257.964 ;2,004.412;1,000   ;147         ;170         ;186         ;170     ;186     ;91        ;112       
8;2023-11-12T12:33:45.314;Renaud;7        ;266.736 ;2,271.148;1,000   ;153         ;174         ;189         ;174     ;189     ;91        ;112       
